Lilianna,Owens,Female,18,l.owens@randatmail.com,999-2334-12A,Lower secondary,Interpreter,115816,Single,4
Elian,Foster,Male,26,e.foster@randatmail.com,907-2333-55A,Doctoral,Singer,138689,Married,4
Paige,Ryan,Female,22,p.ryan@randatmail.com,811-5195-92A,Lower secondary,Biochemist,191096,Single,3
Oliver,Davis,Male,28,o.davis@randatmail.com,552-3654-03,Doctoral,Programmer,184013,Married,5
Oscar,Sullivan,Male,21,o.sullivan@randatmail.com,888-7284-39,Bachelor,Historian,69166,Single,2
Amanda,Carter,Female,25,a.carter@randatmail.com,296-4436-81,Primary,Lawer,102154,Single,5
Stuart,Cunningham,Male,25,s.cunningham@randatmail.com,101-8555-77,Doctoral,Archeologist,141278,Married,2
Alen,Jones,Male,24,a.jones@randatmail.com,979-3061-02,Bachelor,Physicist,183694,Single,1
Byron,Stewart,Male,25,b.stewart@randatmail.com,708-8061-97,Bachelor,Social Worker,156340,Married,4
Daryl,Farrell,Male,30,d.farrell@randatmail.com,984-6010-66,Upper secondary,Singer,94327,Single,4
Edwin,Chapman,Male,19,e.chapman@randatmail.com,963-1282-55,Master,Firefighter,163070,Single,3
Evelyn,Lloyd,Female,24,e.lloyd@randatmail.com,328-6546-35,Lower secondary,Scientist,48216,Single,1
Kirsten,Elliott,Female,29,k.elliott@randatmail.com,609-2892-15,Lower secondary,Astronomer,137265,Married,1
Kristian,Rogers,Male,23,k.rogers@randatmail.com,238-9017-21,Master,Biochemist,66098,Married,3
Alen,Parker,Male,30,a.parker@randatmail.com,149-6298-53,Lower secondary,Salesman,168429,Single,0
Adrianna,Wright,Female,22,a.wright@randatmail.com,923-9720-49,Primary,Manager,110931,Single,4
Frederick,Harris,Male,18,f.harris@randatmail.com,977-0831-69,Lower secondary,Lawer,86741,Single,1
William,Kelley,Male,18,w.kelley@randatmail.com,185-7995-29,Doctoral,Lecturer,88297,Single,2
Agata,Gray,Female,24,a.gray@randatmail.com,754-6694-39,Bachelor,Interpreter,195248,Single,5
Julia,Martin,Female,18,j.martin@randatmail.com,901-0308-66,Master,Medic,103551,Married,5
Lucy,Reed,Female,26,l.reed@randatmail.com,794-7685-64,Master,Dancer,78513,Single,1
Brianna,Casey,Female,23,b.casey@randatmail.com,328-2217-48,Lower secondary,Hairdresser,34493,Married,3
Garry,Gray,Male,26,g.gray@randatmail.com,033-7407-47,Lower secondary,Programmer,86074,Married,0
Elise,Armstrong,Female,29,e.armstrong@randatmail.com,819-8381-57,Primary,Manager,65844,Single,4
Ted,Andrews,Male,23,t.andrews@randatmail.com,247-7119-48,Upper secondary,Programmer,185269,Single,0
Ryan,West,Male,22,r.west@randatmail.com,587-9395-10,Bachelor,Police Officer,69807,Single,1
Amy,Hawkins,Female,22,a.hawkins@randatmail.com,635-5534-56,Upper secondary,Driver,50374,Single,3
Ada,Campbell,Female,19,a.campbell@randatmail.com,794-6134-86,Lower secondary,Meteorologist,75683,Married,5
Joyce,Casey,Female,30,j.casey@randatmail.com,173-7627-78,Lower secondary,Pharmacist,157092,Single,5
Elian,Gray,Male,25,e.gray@randatmail.com,203-2207-30,Primary,Lawer,147359,Married,0
Joyce,Roberts,Female,23,j.roberts@randatmail.com,022-7218-39,Master,Carpenter,50879,Married,5
Amanda,Grant,Female,26,a.grant@randatmail.com,467-5914-16,Primary,Manager,35915,Single,4
Emma,Armstrong,Female,27,e.armstrong@randatmail.com,157-5058-36,Doctoral,Florist,33464,Single,4
Fenton,Scott,Male,21,f.scott@randatmail.com,967-9479-06,Upper secondary,Electrician,157891,Single,4
